motif	num_nodes	erdos_p	num_nodes	mean
7	200	6	0	21
8	200	6	0	2
9	200	6	6242	6915
10	200	6	0	10
11	200	6	0	207
12	200	6	0	716
13	200	6	2930	3501
1	200	6	10790	11322
2	200	6	0	68
3	200	6	857	679
4	200	6	0	0
5	200	6	0	10
6	200	6	0	32
7	200	6	0	20
8	200	6	0	1
9	200	6	6194	6915
10	200	6	0	10
11	200	6	0	207
12	200	6	0	670
13	200	6	2930	3501
1	200	6	36163	36567
2	200	6	0	68
3	200	6	1955	2194
4	200	6	0	1
5	200	6	0	32
6	200	6	0	343
7	200	6	0	64
8	200	6	0	20
9	200	6	4975	6915
10	200	6	0	32
11	200	6	0	207
12	200	6	0	2166
13	200	6	2930	3501
1	200	6	30967	31397
2	200	6	0	68
3	200	6	1750	1883
4	200	6	0	0
5	200	6	0	27
6	200	6	0	253
7	200	6	0	55
8	200	6	0	15
9	200	6	5191	6915
10	200	6	0	28
11	200	6	0	207
12	200	6	0	1860
13	200	6	2930	3501
1	200	6	37175	37574
2	200	6	0	68
3	200	6	1978	2254
4	200	6	0	1
5	200	6	0	33
6	200	6	0	362
7	200	6	0	66
8	200	6	0	21
9	200	6	4879	6915
10	200	6	0	33
11	200	6	0	207
12	200	6	0	2226
13	200	6	2930	3501
1	200	6	32025	32450
2	200	6	0	68
3	200	6	1790	1947
4	200	6	0	0
5	200	6	0	28
6	200	6	0	270
7	200	6	0	57
8	200	6	0	16
9	200	6	5168	6915
10	200	6	0	29
11	200	6	0	207
12	200	6	0	1922
13	200	6	2930	3501
1	200	6	94220	94333
2	200	6	0	68
3	200	6	2860	5660
4	200	6	0	18
5	200	6	0	83
6	200	6	0	2287
7	200	6	0	167
8	200	6	0	137
9	200	6	3325	6915
10	200	6	0	84
11	200	6	0	207
12	200	6	0	5588
13	200	6	2930	3501
1	200	6	90832	90962
2	200	6	0	68
3	200	6	2845	5458
4	200	6	0	16
5	200	6	0	80
6	200	6	0	2126
7	200	6	0	161
8	200	6	0	127
9	200	6	3368	6915
10	200	6	0	81
11	200	6	0	207
12	200	6	0	5389
13	200	6	2930	3501
1	200	6	99499	99585
2	200	6	0	68
3	200	6	2894	5975
4	200	6	0	22
5	200	6	0	88
6	200	6	0	2549
7	200	6	0	177
8	200	6	0	152
9	200	6	3239	6915
10	200	6	0	89
11	200	6	0	207
12	200	6	0	5900
13	200	6	2930	3501
1	200	6	93788	93903
2	200	6	0	68
3	200	6	2873	5634
4	200	6	0	18
5	200	6	0	83
6	200	6	0	2266
7	200	6	0	166
8	200	6	0	135
9	200	6	3257	6915
10	200	6	0	84
11	200	6	0	207
12	200	6	0	5563
13	200	6	2930	3501
1	500	1	923	1170
2	500	1	0	0
3	500	1	0	4
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	487	497
10	500	1	0	0
11	500	1	0	0
12	500	1	0	4
13	500	1	0	248
1	500	1	792	1039
2	500	1	0	0
3	500	1	0	4
4	500	1	0	0
5	500	1	0	0
6	500	1	0	0
7	500	1	0	0
8	500	1	0	0
9	500	1	491	497
10	500	1	0	0
11	500	1	0	0
