motif	num_nodes	erdos_p	occurences	mean
1	1000	0.01	1	52714
2	1000	0.01	0	208
1	1000	0.01	6	54511
2	1000	0.01	0	217
1	1000	0.02	115	213310
2	1000	0.02	0	1591
1	1000	0.02	89	207673
2	1000	0.02	0	1516
1	1000	0.02	98	208187
2	1000	0.02	0	1521
1	1000	0.02	101	212303
2	1000	0.02	0	1568
1	1000	0.02	90	207512
2	1000	0.02	0	1524
1	1000	0.02	95	208724
2	1000	0.02	0	1525
1	1000	0.02	88	212321
2	1000	0.02	0	1567
1	1000	0.02	90	212422
2	1000	0.02	0	1570
1	1000	0.05	3252	1280404
2	1000	0.05	2	22209
1	1000	0.05	3345	1297222
2	1000	0.05	2	22707
1	1000	0.05	2898	1266584
2	1000	0.05	2	21909
1	1000	0.05	3116	1267368
2	1000	0.05	2	21891
1	1000	0.05	2521	1278277
2	1000	0.05	1	22182
1	1000	0.05	2817	1268629
2	1000	0.05	4	21966
1	1000	0.05	3052	1257124
2	1000	0.05	0	21628
1	1000	0.05	3097	1280839
2	1000	0.05	4	22270
1	1000	0.1	48549	5041216
2	1000	0.1	146	171197
1	1000	0.1	48582	5018098
2	1000	0.1	146	170110
1	1000	0.1	51813	5029893
2	1000	0.1	186	170880
1	1000	0.1	52845	5051839
2	1000	0.1	181	171637
1	1000	0.1	48345	4982847
2	1000	0.1	155	168137
1	1000	0.1	50143	5054509
2	1000	0.1	193	172064
1	1000	0.1	49008	5020699
2	1000	0.1	155	170210
1	1000	0.1	49038	5004439
2	1000	0.1	178	169131
1	1000	0.2	797363	19931868
2	1000	0.2	10560	1336010
1	1000	0.2	797734	20022915
2	1000	0.2	10594	1345939
1	1000	0.2	800717	19974341
2	1000	0.2	10713	1340651
1	1000	0.2	812548	20117772
2	1000	0.2	10847	1355509
1	1000	0.2	820688	20179454
2	1000	0.2	11238	1361438
1	1000	0.2	800150	20175696
2	1000	0.2	10525	1361370
1	1000	0.2	807140	20068889
2	1000	0.2	10827	1350137
